domain,side,role,stem,ext,source_path
FoggyCityscapes,input,trainA,2194,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/2194.png
FoggyCityscapes,input,trainA,1850,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/1850.png
FoggyCityscapes,input,trainA,4408,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/4408.png
FoggyCityscapes,input,trainA,0377,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/0377.png
FoggyCityscapes,input,trainA,1553,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/1553.png
FoggyCityscapes,input,trainA,3210,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/3210.png
FoggyCityscapes,input,trainA,1940,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/1940.png
FoggyCityscapes,input,trainA,2048,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/2048.png
FoggyCityscapes,input,trainA,1121,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/1121.png
FoggyCityscapes,input,trainA,0997,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/0997.png
FoggyCityscapes,input,trainA,2436,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/2436.png
FoggyCityscapes,input,trainA,4460,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/4460.png
FoggyCityscapes,input,trainA,0714,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/0714.png
FoggyCityscapes,input,trainA,0511,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/0511.png
FoggyCityscapes,input,trainA,0294,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/0294.png
FoggyCityscapes,target,trainB,4409,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/4409.png
FoggyCityscapes,target,trainB,3105,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/3105.png
FoggyCityscapes,target,trainB,3133,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/3133.png
FoggyCityscapes,target,trainB,0804,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/0804.png
FoggyCityscapes,target,trainB,2718,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/2718.png
FoggyCityscapes,target,trainB,2869,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/2869.png
FoggyCityscapes,target,trainB,1164,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/1164.png
FoggyCityscapes,target,trainB,1670,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/1670.png
FoggyCityscapes,target,trainB,2677,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/2677.png
FoggyCityscapes,target,trainB,4505,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/4505.png
FoggyCityscapes,target,trainB,0009,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/0009.png
FoggyCityscapes,target,trainB,3698,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/3698.png
FoggyCityscapes,target,trainB,1988,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/1988.png
FoggyCityscapes,target,trainB,0544,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/0544.png
FoggyCityscapes,target,trainB,1983,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/1983.png
FoggyCityscapes,target,trainB,0942,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/0942.png
FoggyCityscapes,target,trainB,1731,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/1731.png
FoggyCityscapes,target,trainB,2619,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/2619.png
FoggyCityscapes,target,trainB,4459,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/4459.png
FoggyCityscapes,target,trainB,2478,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/2478.png
FoggyCityscapes,target,trainB,0289,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/0289.png
FoggyCityscapes,target,trainB,1668,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/1668.png
FoggyCityscapes,target,trainB,2296,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/2296.png
FoggyCityscapes,target,trainB,2102,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/2102.png
FoggyCityscapes,target,trainB,1214,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/1214.png
FoggyCityscapes,target,trainB,3623,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/3623.png
FoggyCityscapes,target,trainB,2196,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/2196.png
FoggyCityscapes,target,trainB,0798,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/0798.png
FoggyCityscapes,target,trainB,2733,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/2733.png
FoggyCityscapes,target,trainB,3691,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/3691.png
FoggyCityscapes,target,trainB,4222,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/4222.png
FoggyCityscapes,target,trainB,1175,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/1175.png
FoggyCityscapes,target,trainB,3990,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/3990.png
FoggyCityscapes,target,trainB,3710,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/3710.png
FoggyCityscapes,target,trainB,3570,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/3570.png
FoggyCityscapes,target,trainB,2413,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/2413.png
FoggyCityscapes,target,trainB,1821,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/1821.png
FoggyCityscapes,target,trainB,4230,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/4230.png
FoggyCityscapes,target,trainB,2279,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/2279.png
FoggyCityscapes,target,trainB,0782,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/0782.png
FoggyCityscapes,target,trainB,3508,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/3508.png
FoggyCityscapes,target,trainB,1583,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/1583.png
FoggyCityscapes,target,trainB,3727,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/3727.png
FoggyCityscapes,target,trainB,0697,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/0697.png
FoggyCityscapes,target,trainB,3311,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/3311.png
FoggyCityscapes,target,trainB,0100,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/0100.png
FoggyCityscapes,target,trainB,3016,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/3016.png
FoggyCityscapes,target,trainB,2456,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/2456.png
FoggyCityscapes,target,trainB,1642,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/1642.png
FoggyCityscapes,target,trainB,2885,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/2885.png
FoggyCityscapes,target,trainB,0759,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/0759.png
FoggyCityscapes,target,trainB,0729,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/0729.png
FoggyCityscapes,target,trainB,0678,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/0678.png
FoggyCityscapes,target,trainB,1839,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/1839.png
FoggyCityscapes,target,trainB,2587,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/2587.png
FoggyCityscapes,target,trainB,1790,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/1790.png
FoggyCityscapes,target,trainB,1568,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/1568.png
FoggyCityscapes,target,trainB,1865,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/1865.png
FoggyCityscapes,target,trainB,2626,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/2626.png
FoggyCityscapes,target,trainB,4234,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/4234.png
FoggyCityscapes,target,trainB,1981,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/1981.png
FoggyCityscapes,target,trainB,4011,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/4011.png
FoggyCityscapes,target,trainB,3966,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/3966.png
FoggyCityscapes,target,trainB,4137,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/4137.png
FoggyCityscapes,target,trainB,2180,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/2180.png
FoggyCityscapes,target,trainB,4186,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/4186.png
FoggyCityscapes,target,trainB,2128,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/2128.png
FoggyCityscapes,target,trainB,3912,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/3912.png
FoggyCityscapes,target,trainB,3334,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/3334.png
FoggyCityscapes,target,trainB,1490,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/1490.png
FoggyCityscapes,target,trainB,1592,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/1592.png
FoggyCityscapes,target,trainB,1641,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/1641.png
FoggyCityscapes,target,trainB,2084,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/2084.png
FoggyCityscapes,target,trainB,2799,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/2799.png
FoggyCityscapes,target,trainB,0510,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/0510.png
FoggyCityscapes,target,trainB,0730,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/0730.png
FoggyCityscapes,target,trainB,3260,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/3260.png
FoggyCityscapes,target,trainB,3879,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/3879.png
FoggyCityscapes,target,trainB,3758,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/3758.png
FoggyCityscapes,target,trainB,1890,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/1890.png
FoggyCityscapes,target,trainB,3776,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/3776.png
FoggyCityscapes,target,trainB,3296,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/3296.png
FoggyCityscapes,target,trainB,4539,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/4539.png
FoggyCityscapes,target,trainB,0661,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/0661.png
FoggyCityscapes,target,trainB,1262,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/1262.png
FoggyCityscapes,target,trainB,4308,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/4308.png
FoggyCityscapes,target,trainB,2467,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/2467.png
FoggyCityscapes,target,trainB,3596,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/3596.png
FoggyCityscapes,target,trainB,1789,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/1789.png
FoggyCityscapes,target,trainB,4024,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/4024.png
FoggyCityscapes,target,trainB,0672,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/0672.png
FoggyCityscapes,target,trainB,2254,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/2254.png
FoggyCityscapes,target,trainB,1212,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/1212.png
FoggyCityscapes,target,trainB,0461,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/0461.png
FoggyCityscapes,target,trainB,0553,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/0553.png
FoggyCityscapes,target,trainB,2557,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/2557.png
FoggyCityscapes,target,trainB,1037,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/1037.png
FoggyCityscapes,target,trainB,0124,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/0124.png
FoggyCityscapes,target,trainB,0517,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/0517.png
FoggyCityscapes,target,trainB,1599,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/target/1599.png
FoggyCityscapes,input,discovery,4180,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/4180.png
FoggyCityscapes,input,discovery,0570,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/0570.png
FoggyCityscapes,input,discovery,0101,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/0101.png
FoggyCityscapes,input,discovery,1297,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/1297.png
FoggyCityscapes,input,discovery,0419,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/0419.png
FoggyCityscapes,input,discovery,2723,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/2723.png
FoggyCityscapes,input,discovery,4366,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/4366.png
FoggyCityscapes,input,discovery,1898,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/1898.png
FoggyCityscapes,input,discovery,2204,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/2204.png
FoggyCityscapes,input,discovery,3266,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/3266.png
FoggyCityscapes,input,discovery,1708,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/1708.png
FoggyCityscapes,input,discovery,0445,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/0445.png
FoggyCityscapes,input,discovery,2796,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/2796.png
FoggyCityscapes,input,discovery,0503,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/0503.png
FoggyCityscapes,input,discovery,2996,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/2996.png
FoggyCityscapes,input,discovery,1210,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/1210.png
FoggyCityscapes,input,discovery,3176,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/3176.png
FoggyCityscapes,input,discovery,0702,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/0702.png
FoggyCityscapes,input,discovery,2450,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/2450.png
FoggyCityscapes,input,discovery,3848,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/3848.png
FoggyCityscapes,input,discovery,2745,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/2745.png
FoggyCityscapes,input,discovery,1973,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/1973.png
FoggyCityscapes,input,discovery,2366,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/2366.png
FoggyCityscapes,input,discovery,0991,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/0991.png
FoggyCityscapes,input,discovery,1062,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/1062.png
FoggyCityscapes,input,discovery,3335,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/3335.png
FoggyCityscapes,input,discovery,2175,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/2175.png
FoggyCityscapes,input,discovery,3618,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/3618.png
FoggyCityscapes,input,discovery,0909,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/0909.png
FoggyCityscapes,input,discovery,3329,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/3329.png
FoggyCityscapes,input,discovery,0074,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/0074.png
FoggyCityscapes,input,discovery,2619,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/2619.png
FoggyCityscapes,input,discovery,2340,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/2340.png
FoggyCityscapes,input,discovery,3393,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/3393.png
FoggyCityscapes,input,discovery,1855,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/1855.png
FoggyCityscapes,input,discovery,2449,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/2449.png
FoggyCityscapes,input,discovery,2492,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/2492.png
FoggyCityscapes,input,discovery,4143,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/4143.png
FoggyCityscapes,input,discovery,0440,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/0440.png
FoggyCityscapes,input,discovery,3664,png,/home/yc/UNSB_C21/dataset_all/FoggyCityscapes/input/3664.png
