aio_path,bytes,canonical_stem,domain,order,prior_phase_overlap,representative,role,sha256,single_path,source_path,stem
E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\aio\trainA\FoggyCityscapes__2714.png,204788,,FoggyCityscapes,22,,,trainA,9779909636ef0399fedaad83b188cdc20cab96091aadc58b0c926134b8c95c20,E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\single\FoggyCityscapes\trainA\FoggyCityscapes__2714.png,E:\UNSB_abl\full_dataset\FoggyCityscapes\input\2714.png,2714
E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\aio\trainA\FoggyCityscapes__2393.png,176470,,FoggyCityscapes,23,,,trainA,fdcfaefd4a37ae28efd2fa70f69bdc0477b492123c77a729906a96dd4231769c,E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\single\FoggyCityscapes\trainA\FoggyCityscapes__2393.png,E:\UNSB_abl\full_dataset\FoggyCityscapes\input\2393.png,2393
E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\aio\trainA\FoggyCityscapes__1953.png,148843,,FoggyCityscapes,24,,,trainA,36654661aa04805018738a4f68e5b86e8ab0fc2532e132c4cd25182228386ce1,E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\single\FoggyCityscapes\trainA\FoggyCityscapes__1953.png,E:\UNSB_abl\full_dataset\FoggyCityscapes\input\1953.png,1953
E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\aio\trainA\FoggyCityscapes__4481.png,193931,,FoggyCityscapes,25,,,trainA,715f75ecf6361b22f9cb57ee5dd0229606c452d019b6dddd45a07aaf37fedd89,E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\single\FoggyCityscapes\trainA\FoggyCityscapes__4481.png,E:\UNSB_abl\full_dataset\FoggyCityscapes\input\4481.png,4481
E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\aio\trainA\FoggyCityscapes__1708.png,217824,,FoggyCityscapes,26,,,trainA,cd93136c5c0c068317eb6c6e058be9225d3f174045edcd728c2f5666cfe8b195,E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\single\FoggyCityscapes\trainA\FoggyCityscapes__1708.png,E:\UNSB_abl\full_dataset\FoggyCityscapes\input\1708.png,1708
E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\aio\trainA\FoggyCityscapes__2988.png,193055,,FoggyCityscapes,27,,,trainA,be0bc0759e5ffd4293a1416d371fe5c86be06e010b6511f626ab113ef7a8387d,E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\single\FoggyCityscapes\trainA\FoggyCityscapes__2988.png,E:\UNSB_abl\full_dataset\FoggyCityscapes\input\2988.png,2988
E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\aio\trainA\FoggyCityscapes__4293.png,227519,,FoggyCityscapes,28,,,trainA,8e49d8c9fbe1886815aebdb50d4ad567c0b2583de560053f1fa5f6908a70b00a,E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\single\FoggyCityscapes\trainA\FoggyCityscapes__4293.png,E:\UNSB_abl\full_dataset\FoggyCityscapes\input\4293.png,4293
E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\aio\trainA\FoggyCityscapes__3882.png,181939,,FoggyCityscapes,29,,,trainA,f66d0dc15cd8dc56988250c73b14ca62ac5a3daedc09c93806060655c2ae7385,E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\single\FoggyCityscapes\trainA\FoggyCityscapes__3882.png,E:\UNSB_abl\full_dataset\FoggyCityscapes\input\3882.png,3882
E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\aio\trainA\FoggyCityscapes__3078.png,189125,,FoggyCityscapes,30,,,trainA,48003a73fe66e518dc4141bf0dc56efb015ed0bf2f5ffffb6778c8a4571e94a6,E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\single\FoggyCityscapes\trainA\FoggyCityscapes__3078.png,E:\UNSB_abl\full_dataset\FoggyCityscapes\input\3078.png,3078
E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\aio\trainA\FoggyCityscapes__2312.png,223404,,FoggyCityscapes,31,,,trainA,e59d74f91de869c107882abb96e11cef366a8c89a81b1d19933d72be3f32557c,E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\single\FoggyCityscapes\trainA\FoggyCityscapes__2312.png,E:\UNSB_abl\full_dataset\FoggyCityscapes\input\2312.png,2312
E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\aio\trainA\FoggyCityscapes__4303.png,130521,,FoggyCityscapes,32,,,trainA,a0c982f898f56c1ed1fbbe114ff3a948f43b59172b294237e214eec4dcd61f3e,E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\single\FoggyCityscapes\trainA\FoggyCityscapes__4303.png,E:\UNSB_abl\full_dataset\FoggyCityscapes\input\4303.png,4303
E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\aio\trainA\FoggyCityscapes__2908.png,164461,,FoggyCityscapes,33,,,trainA,8cfe637575bb417603a4c0d43b7281ee836052348688fec94823eb07605b564b,E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\single\FoggyCityscapes\trainA\FoggyCityscapes__2908.png,E:\UNSB_abl\full_dataset\FoggyCityscapes\input\2908.png,2908
E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\aio\trainA\FoggyCityscapes__2062.png,194150,,FoggyCityscapes,34,,,trainA,f5d168201e0ccddb758eb2da035c9e544416e1a0db8313a8c3c8c46d4a6801d3,E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\single\FoggyCityscapes\trainA\FoggyCityscapes__2062.png,E:\UNSB_abl\full_dataset\FoggyCityscapes\input\2062.png,2062
E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\aio\trainA\FoggyCityscapes__0901.png,175444,,FoggyCityscapes,35,,,trainA,b26a17d80f4413810778e63247bdbed7a915bad674b8c5ba36427ebb6b7b0f17,E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\single\FoggyCityscapes\trainA\FoggyCityscapes__0901.png,E:\UNSB_abl\full_dataset\FoggyCityscapes\input\0901.png,0901
E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\aio\trainA\FoggyCityscapes__0637.png,175746,,FoggyCityscapes,36,,,trainA,13eefa2e5395e987ab3c33da1a3b39a869d3ceac8397ab4890fd3eed851ea502,E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\single\FoggyCityscapes\trainA\FoggyCityscapes__0637.png,E:\UNSB_abl\full_dataset\FoggyCityscapes\input\0637.png,0637
E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\aio\trainA\FoggyCityscapes__0661.png,205248,,FoggyCityscapes,37,,,trainA,0b30dc4e08f195c40c70cdebfafa1240370c64d08d7e335703b22e1aee87e13d,E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\single\FoggyCityscapes\trainA\FoggyCityscapes__0661.png,E:\UNSB_abl\full_dataset\FoggyCityscapes\input\0661.png,0661
E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\aio\trainA\FoggyCityscapes__4352.png,137912,,FoggyCityscapes,38,,,trainA,dd3e172e83affe41467f1f594807635a6fd5e5d080471d092041fdb6216f4d79,E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\single\FoggyCityscapes\trainA\FoggyCityscapes__4352.png,E:\UNSB_abl\full_dataset\FoggyCityscapes\input\4352.png,4352
E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\aio\trainA\FoggyCityscapes__0615.png,200994,,FoggyCityscapes,39,,,trainA,f5f6b9620b4859cc2cd540853a17ff80541224bfc17d24fb57d91c1a905bf517,E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\single\FoggyCityscapes\trainA\FoggyCityscapes__0615.png,E:\UNSB_abl\full_dataset\FoggyCityscapes\input\0615.png,0615
E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\aio\trainA\FoggyCityscapes__2037.png,165236,,FoggyCityscapes,40,,,trainA,45ccd6048bd7b4fbce523b789d928f1a4833c043a9e4fe8016ba8123f7a9fdaa,E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\single\FoggyCityscapes\trainA\FoggyCityscapes__2037.png,E:\UNSB_abl\full_dataset\FoggyCityscapes\input\2037.png,2037
E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\aio\trainA\FoggyCityscapes__0510.png,212441,,FoggyCityscapes,41,,,trainA,46c98670aca8a285117a7b23573a63f3caaf46d2f3d38b98f98f4735f127f18a,E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\single\FoggyCityscapes\trainA\FoggyCityscapes__0510.png,E:\UNSB_abl\full_dataset\FoggyCityscapes\input\0510.png,0510
E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\aio\trainA\FoggyCityscapes__3365.png,216768,,FoggyCityscapes,42,,,trainA,d51a654120d8e1c8863eda950434c242a1374beaa97bb111df4d4a663ccc244d,E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\single\FoggyCityscapes\trainA\FoggyCityscapes__3365.png,E:\UNSB_abl\full_dataset\FoggyCityscapes\input\3365.png,3365
E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\aio\trainA\FoggyCityscapes__3140.png,197171,,FoggyCityscapes,43,,,trainA,201256bfa3cdab51b9eaa8d2dd0593311b1155c9238185220805584e334c0ad4,E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\single\FoggyCityscapes\trainA\FoggyCityscapes__3140.png,E:\UNSB_abl\full_dataset\FoggyCityscapes\input\3140.png,3140
E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\aio\trainA\FoggyCityscapes__1518.png,209781,,FoggyCityscapes,44,,,trainA,a7a4f544a819ce71b6c06b06b1c31ba69d4099d552ac74c96b61e3834d2240f3,E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\single\FoggyCityscapes\trainA\FoggyCityscapes__1518.png,E:\UNSB_abl\full_dataset\FoggyCityscapes\input\1518.png,1518
E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\aio\trainA\FoggyCityscapes__1171.png,194335,,FoggyCityscapes,45,,,trainA,b044c9723835307229cd06d0d88568fcea3c61eca9a8da7f57ca31013475090d,E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\single\FoggyCityscapes\trainA\FoggyCityscapes__1171.png,E:\UNSB_abl\full_dataset\FoggyCityscapes\input\1171.png,1171
E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\aio\trainA\FoggyCityscapes__0591.png,202026,,FoggyCityscapes,46,,,trainA,65997e570ee53e00c47cbe88a2890f988458b40d93f8e2ab3f843fcb7c89c4ea,E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\single\FoggyCityscapes\trainA\FoggyCityscapes__0591.png,E:\UNSB_abl\full_dataset\FoggyCityscapes\input\0591.png,0591
E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\aio\trainA\FoggyCityscapes__2670.png,166990,,FoggyCityscapes,47,,,trainA,36f3d1f9fa8620572057e4abe40c86f00fb8928795a337f61c15393b2c108dfb,E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\single\FoggyCityscapes\trainA\FoggyCityscapes__2670.png,E:\UNSB_abl\full_dataset\FoggyCityscapes\input\2670.png,2670
E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\aio\trainA\FoggyCityscapes__3132.png,204491,,FoggyCityscapes,48,,,trainA,d6fd5bc97d28992f5e48632ccbaef3eab04f5949183add758c069b20dbf306ac,E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\single\FoggyCityscapes\trainA\FoggyCityscapes__3132.png,E:\UNSB_abl\full_dataset\FoggyCityscapes\input\3132.png,3132
E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\aio\trainA\FoggyCityscapes__3747.png,204435,,FoggyCityscapes,49,,,trainA,0ceba8f205fe59a54184c273dc99a942453c8ca878d4e61c8d260927b612c9ad,E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\single\FoggyCityscapes\trainA\FoggyCityscapes__3747.png,E:\UNSB_abl\full_dataset\FoggyCityscapes\input\3747.png,3747
E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\aio\trainA\FoggyCityscapes__0702.png,156625,,FoggyCityscapes,50,,,trainA,e2f9e6f7b4699b7adec37deb2b03304d3894ad8184e2ad37fcd1c5d718012b3a,E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\single\FoggyCityscapes\trainA\FoggyCityscapes__0702.png,E:\UNSB_abl\full_dataset\FoggyCityscapes\input\0702.png,0702
E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\aio\trainA\FoggyCityscapes__0694.png,191250,,FoggyCityscapes,51,,,trainA,5fee577e1bbc62ad767b1d3922a063c510678248217bd9913ba05c477fb728e2,E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\single\FoggyCityscapes\trainA\FoggyCityscapes__0694.png,E:\UNSB_abl\full_dataset\FoggyCityscapes\input\0694.png,0694
E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\aio\trainA\FoggyCityscapes__0974.png,181324,,FoggyCityscapes,52,,,trainA,552b8549b7175a6266c947533ec3f0d67530a92cb0cff8e12081f1059b591ff2,E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\single\FoggyCityscapes\trainA\FoggyCityscapes__0974.png,E:\UNSB_abl\full_dataset\FoggyCityscapes\input\0974.png,0974
E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\aio\trainA\FoggyCityscapes__1245.png,171506,,FoggyCityscapes,53,,,trainA,5e3a206e57564ae8aba9a584ea85343a9557ac47c18c416b3af856c707cde288,E:\UNSB_Expl\UNSB_HEADFIGURE_SIXDOMAIN_EXPANDED_20260824\data_views\single\FoggyCityscapes\trainA\FoggyCityscapes__1245.png,E:\UNSB_abl\full_dataset\FoggyCityscapes\input\1245.png,1245
